Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,59.250000,59.312500,58.500000,58.812500,18.932787,2039300
2000-01-04,58.437500,59.437500,58.250000,58.500000,18.832186,3825800
2000-01-05,57.937500,60.500000,57.750000,60.500000,19.476023,4055900
2000-01-06,59.687500,60.625000,59.312500,60.625000,19.516251,4034700
2000-01-07,58.500000,59.500000,58.500000,59.500000,19.154108,4027200
2000-01-10,57.250000,57.750000,56.875000,57.750000,18.590748,2999700
2000-01-11,57.000000,57.750000,55.875000,57.750000,18.590748,3838800
2000-01-12,57.000000,57.125000,56.062500,56.562500,18.208475,2714700
2000-01-13,56.000000,57.875000,55.625000,57.375000,18.470026,3973000
2000-01-14,55.562500,55.937500,54.812500,55.312500,17.806078,4740000
2000-01-18,54.812500,55.750000,54.750000,55.750000,17.946911,2319500
2000-01-19,56.000000,56.375000,55.562500,56.000000,18.027390,3252700
2000-01-20,54.750000,55.125000,54.000000,54.687500,17.604876,5284700
2000-01-21,55.562500,56.625000,55.562500,56.250000,18.107870,3514000
2000-01-24,58.250000,58.375000,55.625000,56.000000,18.027390,2101000
2000-01-25,56.000000,56.250000,54.625000,54.875000,17.665236,2170500
2000-01-26,53.750000,55.187500,53.750000,54.812500,17.645111,2160900
2000-01-27,55.750000,55.750000,53.812500,54.125000,17.423800,1713200
2000-01-28,54.000000,54.687500,53.687500,53.937500,17.363432,2663000
2000-01-31,53.625000,54.000000,52.750000,53.750000,17.303082,2265200
2000-02-01,52.750000,54.562500,52.687500,54.500000,17.544508,2342300
2000-02-02,55.000000,55.125000,53.250000,53.937500,17.363432,2284100
2000-02-03,51.000000,52.375000,50.031250,52.187500,16.800083,9773800
2000-02-04,49.812500,50.312500,48.562500,49.250000,15.854451,5663700
2000-02-07,48.500000,48.875000,48.062500,48.500000,15.613008,2954700
2000-02-08,49.125000,49.312500,47.437500,48.125000,15.492282,3632000
2000-02-09,47.375000,47.375000,45.625000,45.875000,14.767970,5604200
2000-02-10,45.125000,48.625000,45.125000,48.125000,15.492282,7042500
2000-02-11,46.250000,47.562500,46.250000,46.625000,15.009416,6044400
2000-02-14,46.187500,47.500000,45.687500,47.437500,15.270973,2997200
2000-02-15,46.250000,47.625000,46.000000,47.375000,15.250855,5561700
2000-02-16,47.687500,50.000000,47.625000,49.250000,15.854451,4224900
2000-02-17,50.875000,51.125000,48.562500,48.875000,15.733729,2896800
2000-02-18,48.250000,48.375000,46.437500,46.875000,15.089897,2183200
2000-02-22,45.000000,45.625000,44.125000,45.375000,14.607015,3774100
2000-02-23,44.750000,45.125000,44.062500,45.000000,14.593391,2418800
2000-02-24,44.125000,44.250000,43.125000,43.625000,14.147485,3329400
2000-02-25,43.875000,44.875000,43.875000,44.375000,14.390708,3337900
2000-02-28,43.875000,46.000000,43.312500,45.812500,14.856887,3456900
2000-02-29,47.125000,47.625000,46.687500,47.062500,15.262255,4439200
2000-03-01,47.875000,48.500000,46.750000,47.625000,15.444683,3588000
2000-03-02,47.062500,48.687500,46.875000,47.937500,15.546020,3048000
2000-03-03,48.000000,48.187500,47.312500,47.500000,15.404135,2208500
2000-03-06,47.250000,48.000000,46.750000,47.187500,15.302790,1665800
2000-03-07,47.937500,51.000000,47.375000,50.687500,16.437840,4960000
2000-03-08,51.750000,54.750000,51.750000,53.000000,17.187775,8393600
2000-03-09,52.312500,53.000000,51.500000,52.875000,17.147240,3784400
2000-03-10,52.687500,53.437500,51.875000,53.375000,17.309399,5126400
2000-03-13,51.875000,52.812500,51.312500,51.562500,16.721596,1790200
2000-03-14,51.937500,52.000000,50.812500,51.125000,16.579720,2350200
2000-03-15,53.125000,53.437500,51.625000,52.750000,17.106703,8784600
2000-03-16,54.375000,54.375000,52.875000,53.750000,17.431004,7059900
2000-03-17,52.437500,52.875000,51.125000,51.375000,16.660793,3342900
2000-03-20,51.562500,51.625000,50.000000,50.312500,16.316229,3207300
2000-03-21,51.937500,51.937500,51.062500,51.750000,16.782412,4428500
2000-03-22,51.375000,52.000000,50.937500,51.437500,16.681065,2735600
2000-03-23,51.375000,51.562500,50.250000,51.500000,16.701332,2627100
2000-03-24,51.125000,51.875000,50.187500,50.625000,16.417572,4824200
2000-03-27,49.000000,49.687500,48.187500,49.000000,15.890583,3108400
2000-03-28,48.937500,49.437500,48.000000,48.375000,15.687901,2385200
2000-03-29,48.375000,50.500000,48.312500,50.312500,16.316229,3409100
2000-03-30,51.562500,52.250000,51.125000,51.937500,16.843210,4023900
2000-03-31,55.125000,55.125000,52.875000,53.250000,17.268852,6166000
2000-04-03,52.875000,53.312500,52.250000,52.625000,17.066160,2276100
2000-04-04,53.250000,53.250000,51.687500,52.687500,17.086435,5295800
2000-04-05,51.875000,52.500000,51.500000,51.500000,16.701332,2706100
2000-04-06,51.250000,52.437500,50.937500,51.937500,16.843210,4344800
2000-04-07,51.812500,51.875000,50.750000,51.187500,16.599983,2415100
2000-04-10,51.250000,51.625000,50.875000,51.125000,16.579720,3448400
2000-04-11,52.250000,52.750000,51.687500,52.187500,16.924282,6491500
2000-04-12,51.750000,52.500000,50.875000,52.125000,16.904013,3862500
2000-04-13,51.687500,51.875000,51.000000,51.500000,16.701332,7321400
2000-04-14,50.750000,50.812500,49.000000,49.625000,16.093277,5197200
2000-04-17,50.000000,50.125000,46.984375,47.500000,15.404135,11017500
2000-04-18,47.687500,48.437500,47.437500,48.125000,15.606812,7765400
2000-04-19,49.250000,49.375000,48.500000,48.812500,15.829782,6705600
2000-04-20,49.750000,50.500000,49.687500,49.750000,16.133804,6827300
2000-04-24,49.125000,49.750000,49.062500,49.750000,16.133804,4561000
2000-04-25,52.375000,52.625000,52.125000,52.250000,16.944557,9940200
2000-04-26,53.000000,53.312500,51.875000,52.000000,16.863470,5178300
2000-04-27,52.625000,53.562500,52.250000,53.000000,17.187775,6881800
2000-04-28,52.687500,52.750000,50.937500,51.000000,16.539186,3675700
2000-05-01,51.000000,51.312500,50.125000,51.250000,16.620264,3832600
2000-05-02,51.000000,51.687500,50.875000,51.437500,16.681065,6506300
2000-05-03,52.187500,52.937500,51.125000,51.750000,16.782412,4314600
2000-05-04,51.625000,52.500000,51.375000,52.250000,16.944557,4369200
2000-05-05,53.687500,54.312500,53.562500,54.312500,17.613411,6641600
2000-05-08,54.625000,55.125000,54.312500,55.125000,17.876919,3724500
2000-05-09,54.000000,54.375000,52.625000,53.187500,17.248577,3562200
2000-05-10,53.187500,54.000000,52.687500,52.812500,17.126970,5182300
2000-05-11,54.625000,55.312500,54.312500,54.687500,17.735029,7624100
2000-05-12,53.125000,54.625000,53.125000,54.156250,17.562740,3098400
2000-05-15,54.437500,55.125000,54.250000,55.000000,17.836370,4910500
2000-05-16,54.875000,54.937500,53.500000,53.875000,17.471535,3575900
2000-05-17,53.125000,53.437500,52.687500,53.375000,17.417044,2752400
2000-05-18,54.312500,54.687500,54.187500,54.312500,17.722967,3030400
2000-05-19,54.750000,54.875000,54.000000,54.687500,17.845331,4576500
2000-05-22,54.500000,54.937500,54.125000,54.312500,17.722967,3970600
2000-05-23,53.562500,54.125000,53.562500,54.000000,17.620993,1743900
2000-05-24,53.125000,53.312500,52.312500,53.250000,17.376255,3189100
2000-05-25,52.500000,52.937500,52.250000,52.750000,17.213091,2368100
2000-05-26,53.250000,53.500000,52.250000,52.500000,17.131521,1731600
2000-05-30,53.750000,53.812500,52.812500,53.562500,17.478231,1514100
2000-05-31,54.250000,54.812500,54.187500,54.562500,17.804537,2114900
2000-06-01,54.750000,55.437500,54.312500,55.437500,18.090071,4077200
2000-06-02,56.875000,57.062500,55.250000,56.000000,18.273621,4456500
2000-06-05,55.812500,56.625000,55.750000,56.250000,18.355200,2672900
2000-06-06,56.437500,57.375000,56.375000,57.250000,18.681513,2367100
2000-06-07,56.812500,56.937500,55.562500,55.812500,18.212431,2259900
2000-06-08,55.437500,56.187500,55.375000,56.187500,18.334805,2040400
2000-06-09,56.437500,56.875000,55.687500,55.875000,18.232832,1985100
2000-06-12,55.687500,57.375000,55.625000,57.375000,18.722311,4740500
2000-06-13,57.562500,57.812500,57.250000,57.687500,18.824278,3282600
2000-06-14,57.312500,57.875000,57.000000,57.375000,18.722311,2794000
2000-06-15,56.750000,56.750000,55.562500,55.562500,18.130856,2270300
2000-06-16,56.187500,57.625000,56.187500,57.312500,18.701906,2874900
2000-06-19,57.562500,57.750000,57.000000,57.437500,18.742693,3723600
2000-06-20,56.562500,56.687500,56.000000,56.500000,18.436769,2907500
2000-06-21,56.250000,57.625000,56.000000,57.250000,18.681513,3030700
2000-06-22,59.000000,59.312500,57.750000,57.937500,18.905855,3640500
2000-06-23,57.375000,58.187500,57.375000,57.875000,18.885464,1657600
2000-06-26,58.375000,58.812500,57.687500,57.875000,18.885464,3392300
2000-06-27,57.312500,57.500000,56.812500,56.937500,18.579544,3620100
2000-06-28,56.187500,56.437500,55.812500,56.000000,18.273621,2756200
2000-06-29,56.500000,57.000000,56.500000,56.875000,18.559141,1813500
2000-06-30,57.687500,57.812500,56.375000,56.625000,18.477568,2579000
2000-07-03,57.500000,58.375000,57.375000,58.312500,19.028219,1644900
2000-07-05,54.000000,55.000000,53.750000,53.875000,17.580202,3333200
2000-07-06,54.562500,54.937500,54.562500,54.687500,17.845331,1827100
2000-07-07,55.625000,55.875000,55.062500,55.375000,18.069668,2362700
2000-07-10,56.187500,56.687500,55.812500,56.125000,18.314402,2605700
2000-07-11,56.187500,57.312500,56.187500,57.312500,18.701906,2067100
2000-07-12,56.375000,56.500000,55.625000,55.875000,18.232832,2087400
2000-07-13,54.937500,55.125000,54.500000,54.687500,17.845331,2341000
2000-07-14,54.000000,54.187500,53.187500,53.437500,17.437433,3075200
2000-07-17,52.500000,52.562500,51.687500,52.062500,16.988754,3879200
2000-07-18,52.625000,53.125000,52.062500,52.125000,17.009146,2659200
