Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,59.375000,63.438000,57.438000,63.063000,20.231335,12261600
2000-01-08,62.500000,63.313000,60.813000,61.188000,19.629807,10838300
2000-01-15,61.188000,61.188000,58.063000,59.750000,19.168472,13434400
2000-01-22,58.813000,61.250000,53.875000,54.125000,17.363918,12533400
2000-01-29,55.063000,56.125000,51.938000,52.500000,16.842588,13665100
2000-02-05,54.563000,56.125000,51.688000,53.875000,17.283714,14107200
2000-02-12,55.063000,59.063000,53.563000,56.000000,17.965443,13445600
2000-02-19,56.000000,56.188000,50.500000,51.313000,16.461790,9617000
2000-02-26,52.688000,54.375000,50.438000,53.563000,17.183615,11696300
2000-03-04,52.563000,58.500000,52.000000,56.375000,18.085747,13144500
2000-03-11,55.438000,64.000000,54.438000,56.500000,18.125841,15452600
2000-03-18,56.438000,58.688000,55.688000,56.563000,18.146046,12538700
2000-03-25,55.625000,59.188000,55.188000,57.813000,18.547060,13823000
2000-04-01,58.313000,59.313000,56.625000,56.938000,18.266357,10939400
2000-04-08,57.063000,58.250000,56.000000,56.375000,18.085747,10306100
2000-04-15,56.750000,57.188000,55.188000,56.500000,18.125841,10215600
2000-04-22,56.625000,58.563000,56.125000,57.375000,18.406551,11393400
2000-04-29,57.625000,59.250000,56.375000,58.250000,18.687254,8447800
2000-05-06,58.625000,61.625000,58.063000,61.375000,19.689798,12126900
2000-05-13,62.500000,63.188000,60.063000,62.625000,20.356157,9697500
2000-05-20,63.000000,63.313000,59.313000,61.063000,19.848444,11104500
2000-05-27,61.063000,62.938000,60.875000,62.125000,20.193638,6851500
2000-06-03,61.750000,63.188000,61.313000,62.500000,20.315527,8380400
2000-06-10,64.000000,65.625000,61.875000,63.813000,20.742317,14405000
2000-06-17,62.188000,63.875000,60.875000,62.000000,20.153000,11548900
2000-06-24,62.438000,63.125000,61.188000,61.563000,20.010956,8908000
2000-07-01,62.688000,62.750000,60.875000,62.000000,20.153000,7509000
2000-07-08,62.438000,63.563000,60.000000,60.750000,19.746695,9984800
2000-07-15,59.625000,60.125000,58.063000,58.188000,18.913921,11353200
2000-07-22,57.313000,59.375000,57.250000,58.625000,19.055962,10434000
2000-07-29,58.250000,60.625000,58.063000,58.375000,18.974710,10638300
2000-08-05,59.313000,60.688000,58.125000,59.688000,19.601786,8704600
2000-08-12,60.188000,63.000000,59.938000,61.625000,20.237898,8483000
2000-08-19,62.000000,64.125000,61.625000,61.813000,20.299627,8960000
2000-08-26,61.938000,62.875000,60.625000,62.125000,20.402090,6974400
2000-09-02,62.125000,63.438000,61.500000,62.188000,20.422781,8894300
2000-09-09,64.125000,65.188004,61.000000,62.688000,20.586992,16070600
2000-09-16,62.625000,63.250000,60.438000,60.625000,19.909494,12116900
2000-09-23,59.313000,60.750000,58.563000,59.938000,19.683880,12340000
2000-09-30,61.188000,61.938000,60.313000,61.063000,20.053335,11681700
2000-10-07,61.688000,65.688004,61.000000,62.750000,20.607351,14734500
2000-10-14,62.313000,62.813000,59.750000,62.063000,20.381729,11635200
2000-10-21,61.313000,61.813000,58.438000,59.500000,19.540039,10628300
2000-10-28,59.563000,61.438000,56.750000,58.625000,19.252682,17695400
2000-11-04,58.875000,61.000000,58.125000,60.000000,19.704239,10311000
2000-11-11,59.563000,61.375000,59.188000,61.063000,20.053335,9998500
2000-11-18,59.813000,61.375000,59.750000,59.938000,19.683880,8028700
2000-11-25,61.063000,62.563000,57.938000,59.500000,19.540039,13916500
2000-12-02,60.500000,60.563000,56.125000,56.813000,18.657618,12912400
2000-12-09,54.938000,57.500000,54.438000,55.875000,18.349577,19917000
2000-12-16,56.688000,59.688000,56.188000,59.250000,19.457933,15004100
2000-12-23,59.250000,62.000000,59.000000,60.563000,19.889126,10393600
2000-12-30,60.563000,63.125000,60.375000,61.875000,20.320004,17286000
2001-01-06,61.375000,62.438000,58.500000,60.250000,19.786337,12985300
2001-01-13,60.250000,60.750000,58.125000,58.688000,19.273371,13865800
2001-01-20,58.813000,60.313000,57.688000,59.250000,19.457933,13266500
2001-01-27,58.889999,60.520000,58.580002,60.410000,19.838890,9122500
2001-02-03,61.779999,64.150002,60.500000,63.709999,20.922611,11211100
2001-02-10,62.750000,63.000000,59.419998,60.650002,19.917702,13505600
2001-02-17,60.650002,60.700001,58.160000,58.669998,19.267460,8617700
2001-02-24,59.419998,60.490002,58.119999,59.540001,19.553171,13343400
2001-03-03,59.529999,60.750000,58.549999,60.099998,19.737082,9477000
2001-03-10,58.439999,59.349998,56.750000,56.750000,18.636930,16104200
2001-03-17,56.759998,57.980000,53.630001,54.889999,18.026098,16167500
2001-03-24,55.669998,57.189999,54.919998,55.439999,18.206713,12893500
2001-03-31,54.799999,56.000000,53.299999,56.000000,18.390625,13419400
2001-04-07,57.200001,58.090000,56.459999,57.450001,18.866812,9280000
2001-04-14,58.480000,58.490002,56.299999,57.340000,18.830687,13314500
2001-04-21,57.849998,60.650002,57.250000,60.150002,19.753510,13394500
2001-04-28,59.529999,60.200001,57.020000,58.750000,19.293722,15959600
2001-05-05,58.700001,60.000000,58.099998,59.000000,19.375837,9423200
2001-05-12,59.009998,61.950001,58.430000,61.939999,20.341343,11206500
